worker_id,zone_id,city,zone_label,platform,season,months_active,avg_daily_hours,past_claims_count,zone_flood_risk,zone_heat_risk,zone_aqi_risk,weekly_earnings,daily_orders,avg_income_per_order,disruption_exposure,risk_label,plan_name,plan_base_premium,plan_max_payout,coverage_days,covered_event_count,avg_copay
W_00010,Z_KOL_001,Kolkata,Kolkata_Central,Blinkit,monsoon,21,7.2,1,0.7909,0.6224,0.5826,4500.0,11.65,52.13,0.6799,medium,nano,25.0,500.0,7,2,0.25
W_00011,Z_BLR_001,Bangalore,Bangalore_Central,Swiggy,monsoon,3,11.37,2,0.4276,0.4406,0.3775,4500.0,10.67,50.36,0.4792,high,basic,49.0,1000.0,7,4,0.2
W_00012,Z_DEL_001,Delhi,Delhi_Central,Zomato,summer,25,7.19,1,0.3267,0.8994,0.8797,4796.98,15.82,48.9,0.6179,medium,nano,25.0,500.0,7,2,0.25
W_00013,Z_BLR_002,Bangalore,Bangalore_East,Swiggy,monsoon,9,7.06,0,0.4031,0.3319,0.2882,6088.4,19.15,51.29,0.3813,medium,basic,49.0,1000.0,7,4,0.2
W_00014,Z_KOL_001,Kolkata,Kolkata_Central,Zepto,monsoon,19,6.56,1,0.7342,0.5952,0.5271,4500.0,14.41,42.14,0.6323,medium,nano,25.0,500.0,7,2,0.25
W_00015,Z_MUM_001,Mumbai,Mumbai_Coastal,Zepto,monsoon,59,9.39,1,0.7933,0.6058,0.446,4500.0,8.0,50.95,0.6725,low,nano,25.0,500.0,7,2,0.25
W_00016,Z_DEL_001,Delhi,Delhi_Central,Zomato,winter,18,6.09,1,0.3549,0.99,0.8991,4500.0,11.15,49.21,0.6516,medium,basic,49.0,1000.0,7,4,0.2
W_00017,Z_CHE_002,Chennai,Chennai_Suburban,Swiggy,monsoon,21,8.01,0,0.5823,0.8078,0.3113,4500.0,8.0,47.59,0.6031,medium,nano,25.0,500.0,7,2,0.25
W_00018,Z_BLR_002,Bangalore,Bangalore_East,Swiggy,summer,19,6.43,1,0.3624,0.3538,0.3091,4500.0,15.8,44.22,0.3699,medium,basic,49.0,1000.0,7,4,0.2
W_00019,Z_KOL_001,Kolkata,Kolkata_Central,Swiggy,festival,29,9.73,4,0.8974,0.7425,0.4785,5037.52,15.96,50.92,0.7578,medium,basic,49.0,1000.0,7,4,0.2
W_00020,Z_MUM_001,Mumbai,Mumbai_Coastal,Zomato,winter,23,7.86,1,0.8913,0.6377,0.3798,5082.2,15.82,51.8,0.7032,medium,standard,79.0,2000.0,7,6,0.1
W_00021,Z_MUM_001,Mumbai,Mumbai_Coastal,Zepto,festival,19,9.26,2,0.7839,0.5261,0.4501,4500.0,13.42,37.2,0.6402,medium,basic,49.0,1000.0,7,4,0.2
W_00022,Z_CHE_002,Chennai,Chennai_Suburban,Zepto,monsoon,19,7.23,2,0.6686,0.9003,0.354,5276.29,15.13,56.24,0.6655,medium,premium,99.0,3500.0,7,7,0.0
W_00023,Z_CHE_002,Chennai,Chennai_Suburban,Blinkit,monsoon,4,9.0,2,0.5972,0.812,0.2849,4500.0,12.63,55.72,0.6153,high,nano,25.0,500.0,7,2,0.25
W_00024,Z_DEL_002,Delhi,Delhi_NCR,Zepto,summer,32,8.56,0,0.2513,0.8042,0.9176,4500.0,13.59,43.73,0.5798,low,nano,25.0,500.0,7,2,0.25
W_00025,Z_KOL_001,Kolkata,Kolkata_Central,Amazon,summer,5,9.27,9,0.8248,0.6661,0.5726,4500.0,8.0,55.64,0.7269,high,nano,25.0,500.0,7,2,0.25
W_00026,Z_CHE_001,Chennai,Chennai_Central,Blinkit,festival,18,6.23,1,0.6876,0.8644,0.338,4794.56,17.37,44.51,0.6472,low,standard,79.0,2000.0,7,6,0.1
W_00027,Z_KOL_001,Kolkata,Kolkata_Central,Zomato,monsoon,2,8.47,2,0.8326,0.7421,0.4554,4500.0,12.72,39.32,0.7201,high,premium,99.0,3500.0,7,7,0.0
W_00028,Z_BLR_002,Bangalore,Bangalore_East,Zomato,festival,18,6.97,2,0.4059,0.3568,0.34,4500.0,15.24,44.64,0.3938,low,basic,49.0,1000.0,7,4,0.2
W_00029,Z_DEL_001,Delhi,Delhi_Central,Blinkit,monsoon,6,8.76,9,0.3618,0.99,0.8419,6016.04,16.55,58.64,0.6642,high,premium,99.0,3500.0,7,7,0.0
W_00030,Z_DEL_002,Delhi,Delhi_NCR,Zepto,monsoon,7,7.76,2,0.3025,0.8584,0.739,4500.0,12.41,46.38,0.5743,medium,standard,79.0,2000.0,7,6,0.1
W_00031,Z_KOL_001,Kolkata,Kolkata_Central,Swiggy,festival,2,8.05,2,0.9037,0.6054,0.5766,4500.0,16.65,37.57,0.7248,high,standard,79.0,2000.0,7,6,0.1
W_00032,Z_MUM_002,Mumbai,Mumbai_Suburbs,Zomato,winter,35,7.97,0,0.6653,0.525,0.5063,6928.0,22.0,50.8,0.6006,low,standard,79.0,2000.0,7,6,0.1
W_00033,Z_BLR_002,Bangalore,Bangalore_East,Zomato,monsoon,29,5.92,1,0.3949,0.4136,0.2996,4500.0,11.03,37.47,0.3919,low,nano,25.0,500.0,7,2,0.25
W_00034,Z_HYD_001,Hyderabad,Hyderabad_Central,Swiggy,monsoon,29,9.12,2,0.638,0.7432,0.4273,5317.36,16.57,51.76,0.6399,medium,basic,49.0,1000.0,7,4,0.2
W_00035,Z_MUM_001,Mumbai,Mumbai_Coastal,Swiggy,summer,18,4.59,2,0.8489,0.5218,0.4546,8826.53,22.69,62.74,0.6295,medium,basic,49.0,1000.0,7,4,0.2
W_00036,Z_DEL_001,Delhi,Delhi_Central,Zomato,winter,37,7.09,1,0.3206,0.8099,0.7663,4500.0,10.66,54.51,0.5732,low,nano,25.0,500.0,7,2,0.25
W_00037,Z_DEL_002,Delhi,Delhi_NCR,Swiggy,monsoon,22,9.22,2,0.2962,0.8955,0.741,4500.0,17.23,40.71,0.5964,low,nano,25.0,500.0,7,2,0.25
W_00038,Z_DEL_001,Delhi,Delhi_Central,Blinkit,festival,39,7.08,0,0.3186,0.99,0.8627,5755.52,19.43,47.77,0.6295,low,nano,25.0,500.0,7,2,0.25
W_00039,Z_MUM_001,Mumbai,Mumbai_Coastal,Zomato,winter,13,8.28,3,0.9354,0.6299,0.4414,6546.17,21.35,49.46,0.7349,medium,premium,99.0,3500.0,7,7,0.0
W_00040,Z_BLR_001,Bangalore,Bangalore_Central,Swiggy,summer,36,5.12,0,0.4097,0.4318,0.3014,5130.17,15.32,54.0,0.3974,low,premium,99.0,3500.0,7,7,0.0
W_00041,Z_MUM_001,Mumbai,Mumbai_Coastal,Swiggy,festival,44,6.4,1,0.9069,0.5472,0.4713,4991.28,14.12,57.01,0.6761,low,nano,25.0,500.0,7,2,0.25
W_00042,Z_BLR_002,Bangalore,Bangalore_East,Zomato,monsoon,3,13.54,4,0.3908,0.3413,0.3337,4500.0,15.37,43.86,0.4398,high,premium,99.0,3500.0,7,7,0.0
W_00043,Z_CHE_002,Chennai,Chennai_Suburban,Swiggy,summer,4,7.56,1,0.6754,0.7858,0.2884,6927.22,20.21,55.29,0.6297,high,standard,79.0,2000.0,7,6,0.1
W_00044,Z_CHE_002,Chennai,Chennai_Suburban,Swiggy,festival,25,9.81,1,0.667,0.9294,0.3128,5816.48,20.4,46.0,0.6843,medium,premium,99.0,3500.0,7,7,0.0
W_00045,Z_KOL_001,Kolkata,Kolkata_Central,Zomato,festival,56,8.05,1,0.7775,0.7495,0.5515,6604.64,22.02,48.39,0.7075,low,basic,49.0,1000.0,7,4,0.2
W_00046,Z_BLR_001,Bangalore,Bangalore_Central,Zepto,festival,35,4.59,1,0.4135,0.4369,0.3774,6780.28,21.76,50.25,0.4049,low,standard,79.0,2000.0,7,6,0.1
W_00047,Z_DEL_001,Delhi,Delhi_Central,Zomato,summer,57,6.89,1,0.3566,0.99,0.7895,4500.0,9.04,50.31,0.6366,low,premium,99.0,3500.0,7,7,0.0
W_00048,Z_BLR_001,Bangalore,Bangalore_Central,Zomato,monsoon,9,9.19,3,0.4741,0.4669,0.3723,5582.09,16.98,53.01,0.4844,medium,standard,79.0,2000.0,7,6,0.1
W_00049,Z_MUM_001,Mumbai,Mumbai_Coastal,Zomato,festival,9,7.88,0,0.929,0.5492,0.4731,10125.47,29.0,56.31,0.6995,medium,premium,99.0,3500.0,7,7,0.0
W_00050,Z_MUM_001,Mumbai,Mumbai_Coastal,Swiggy,festival,41,4.98,2,0.8287,0.5666,0.4136,6184.81,20.52,48.62,0.6256,low,standard,79.0,2000.0,7,6,0.1
W_00051,Z_DEL_001,Delhi,Delhi_Central,Zomato,monsoon,56,5.76,1,0.3451,0.9025,0.8117,4500.0,14.3,45.97,0.5985,low,nano,25.0,500.0,7,2,0.25
W_00052,Z_DEL_002,Delhi,Delhi_NCR,Zomato,winter,14,8.63,1,0.3073,0.9865,0.9272,4500.0,8.25,54.01,0.6621,medium,basic,49.0,1000.0,7,4,0.2
W_00053,Z_KOL_001,Kolkata,Kolkata_Central,Zomato,festival,14,9.59,1,0.7341,0.6186,0.4922,4500.0,13.08,55.43,0.6558,medium,standard,79.0,2000.0,7,6,0.1
W_00054,Z_CHE_001,Chennai,Chennai_Central,Swiggy,monsoon,14,8.0,2,0.8506,0.8594,0.3892,4500.0,11.55,44.7,0.7441,medium,premium,99.0,3500.0,7,7,0.0
W_00055,Z_CHE_001,Chennai,Chennai_Central,Swiggy,monsoon,27,10.07,2,0.7802,0.7828,0.4134,5098.15,14.96,54.96,0.7172,medium,basic,49.0,1000.0,7,4,0.2
W_00056,Z_MUM_001,Mumbai,Mumbai_Coastal,Blinkit,festival,29,9.73,1,0.7837,0.6493,0.408,6569.17,23.94,44.26,0.6713,medium,nano,25.0,500.0,7,2,0.25
W_00057,Z_DEL_002,Delhi,Delhi_NCR,Zomato,festival,1,12.71,2,0.2678,0.8664,0.9452,4500.0,15.26,33.29,0.6387,high,standard,79.0,2000.0,7,6,0.1
W_00058,Z_DEL_001,Delhi,Delhi_Central,Swiggy,monsoon,23,8.83,4,0.3074,0.99,0.7695,4500.0,12.94,31.21,0.6289,medium,standard,79.0,2000.0,7,6,0.1
W_00059,Z_KOL_001,Kolkata,Kolkata_Central,Swiggy,monsoon,24,9.1,2,0.8108,0.7181,0.4997,4769.77,15.48,49.7,0.7182,medium,standard,79.0,2000.0,7,6,0.1
W_00060,Z_KOL_001,Kolkata,Kolkata_Central,Zomato,summer,8,8.89,2,0.8667,0.6876,0.5139,5232.36,16.93,49.84,0.7362,medium,standard,79.0,2000.0,7,6,0.1
W_00061,Z_HYD_001,Hyderabad,Hyderabad_Central,Zomato,festival,50,5.08,0,0.535,0.6814,0.4034,4500.0,8.33,51.47,0.5335,low,basic,49.0,1000.0,7,4,0.2
W_00062,Z_HYD_001,Hyderabad,Hyderabad_Central,Amazon,summer,21,5.07,0,0.6126,0.8243,0.4113,4500.0,9.81,60.39,0.6118,low,standard,79.0,2000.0,7,6,0.1
W_00063,Z_BLR_002,Bangalore,Bangalore_East,Swiggy,monsoon,40,7.67,1,0.4113,0.3339,0.3004,4500.0,10.32,50.5,0.3934,low,nano,25.0,500.0,7,2,0.25
W_00064,Z_KOL_001,Kolkata,Kolkata_Central,Zomato,festival,7,13.09,3,0.8533,0.6405,0.4473,4500.0,12.9,48.71,0.7351,high,basic,49.0,1000.0,7,4,0.2
W_00065,Z_HYD_001,Hyderabad,Hyderabad_Central,Swiggy,festival,11,7.59,2,0.6017,0.6923,0.4624,6084.58,20.2,48.58,0.5976,medium,basic,49.0,1000.0,7,4,0.2
W_00066,Z_MUM_002,Mumbai,Mumbai_Suburbs,Swiggy,monsoon,21,7.46,3,0.6687,0.5044,0.5079,4500.0,11.87,51.84,0.5845,medium,standard,79.0,2000.0,7,6,0.1
W_00067,Z_BLR_002,Bangalore,Bangalore_East,Swiggy,monsoon,24,10.07,1,0.3948,0.3939,0.2813,7047.14,19.43,58.5,0.4226,medium,standard,79.0,2000.0,7,6,0.1
W_00068,Z_MUM_002,Mumbai,Mumbai_Suburbs,Swiggy,festival,39,6.6,0,0.728,0.5614,0.4154,4944.61,20.96,38.05,0.5967,low,standard,79.0,2000.0,7,6,0.1
W_00069,Z_CHE_002,Chennai,Chennai_Suburban,Swiggy,summer,51,6.25,0,0.6975,0.7811,0.3171,4500.0,11.03,47.33,0.63,low,premium,99.0,3500.0,7,7,0.0
W_00070,Z_CHE_001,Chennai,Chennai_Central,Swiggy,monsoon,25,10.42,3,0.8354,0.7772,0.4204,4500.0,11.52,55.34,0.7434,medium,premium,99.0,3500.0,7,7,0.0
W_00071,Z_MUM_001,Mumbai,Mumbai_Coastal,Swiggy,festival,4,12.71,4,0.9092,0.6141,0.3817,9588.48,25.95,59.61,0.736,high,standard,79.0,2000.0,7,6,0.1
W_00072,Z_MUM_002,Mumbai,Mumbai_Suburbs,Swiggy,monsoon,1,8.68,4,0.7505,0.6156,0.5187,4963.85,19.84,40.35,0.6636,high,standard,79.0,2000.0,7,6,0.1
W_00073,Z_CHE_001,Chennai,Chennai_Central,Amazon,summer,1,9.9,2,0.8493,0.8004,0.3651,4714.16,13.26,57.33,0.7436,high,basic,49.0,1000.0,7,4,0.2
W_00074,Z_CHE_002,Chennai,Chennai_Suburban,Swiggy,winter,8,8.39,1,0.6028,0.7904,0.3491,4846.12,14.81,52.77,0.6248,medium,standard,79.0,2000.0,7,6,0.1
W_00075,Z_DEL_002,Delhi,Delhi_NCR,Amazon,summer,23,8.39,1,0.3101,0.9716,0.7728,4500.0,16.28,42.83,0.6237,medium,standard,79.0,2000.0,7,6,0.1
W_00076,Z_CHE_002,Chennai,Chennai_Suburban,Blinkit,festival,19,10.58,3,0.6679,0.9677,0.3371,4500.0,9.5,55.18,0.7066,medium,premium,99.0,3500.0,7,7,0.0
W_00077,Z_CHE_001,Chennai,Chennai_Central,Amazon,festival,9,11.39,0,0.8089,0.9023,0.4372,7028.51,19.17,59.14,0.7728,medium,basic,49.0,1000.0,7,4,0.2
W_00078,Z_BLR_002,Bangalore,Bangalore_East,Zepto,monsoon,14,9.42,4,0.3925,0.3656,0.2929,4500.0,16.78,40.07,0.4096,medium,standard,79.0,2000.0,7,6,0.1
W_00079,Z_HYD_001,Hyderabad,Hyderabad_Central,Zomato,summer,23,6.14,0,0.6317,0.8448,0.4104,4500.0,12.69,56.7,0.6359,low,standard,79.0,2000.0,7,6,0.1
W_00080,Z_HYD_001,Hyderabad,Hyderabad_Central,Zepto,monsoon,9,10.06,2,0.5833,0.7306,0.4005,4500.0,13.73,49.35,0.6175,medium,nano,25.0,500.0,7,2,0.25
W_00081,Z_MUM_002,Mumbai,Mumbai_Suburbs,Swiggy,summer,12,6.64,1,0.7962,0.5527,0.4748,6151.17,21.66,45.81,0.6397,medium,standard,79.0,2000.0,7,6,0.1
W_00082,Z_MUM_001,Mumbai,Mumbai_Coastal,Swiggy,summer,40,7.34,0,0.7824,0.6407,0.4201,4886.24,16.18,48.71,0.6556,low,basic,49.0,1000.0,7,4,0.2
W_00083,Z_MUM_001,Mumbai,Mumbai_Coastal,Zomato,summer,24,11.6,2,0.7811,0.6145,0.4353,4500.0,11.44,62.73,0.6922,medium,basic,49.0,1000.0,7,4,0.2
W_00084,Z_MUM_001,Mumbai,Mumbai_Coastal,Swiggy,winter,24,9.26,5,0.8914,0.6022,0.3613,6346.68,20.61,49.67,0.7045,medium,premium,99.0,3500.0,7,7,0.0
W_00085,Z_MUM_001,Mumbai,Mumbai_Coastal,Zomato,festival,7,10.55,2,0.9105,0.5111,0.4639,7310.92,20.34,57.96,0.7032,medium,basic,49.0,1000.0,7,4,0.2
W_00086,Z_MUM_002,Mumbai,Mumbai_Suburbs,Swiggy,festival,17,10.36,0,0.6869,0.6083,0.5299,6344.84,22.23,46.04,0.6467,medium,basic,49.0,1000.0,7,4,0.2
W_00087,Z_BLR_001,Bangalore,Bangalore_Central,Swiggy,monsoon,4,9.75,3,0.461,0.4203,0.3473,6495.73,18.46,56.76,0.4667,high,standard,79.0,2000.0,7,6,0.1
W_00088,Z_CHE_002,Chennai,Chennai_Suburban,Zepto,monsoon,30,6.49,0,0.6465,0.8955,0.3531,4500.0,8.0,45.96,0.6476,low,basic,49.0,1000.0,7,4,0.2
W_00089,Z_DEL_002,Delhi,Delhi_NCR,Zomato,festival,55,7.46,3,0.3024,0.8563,0.7465,7383.37,18.99,62.72,0.5677,low,standard,79.0,2000.0,7,6,0.1
W_00090,Z_HYD_001,Hyderabad,Hyderabad_Central,Zomato,monsoon,34,5.05,0,0.5206,0.7416,0.4376,4500.0,11.2,39.57,0.5532,low,nano,25.0,500.0,7,2,0.25
W_00091,Z_CHE_001,Chennai,Chennai_Central,Swiggy,monsoon,2,9.66,1,0.859,0.7699,0.3644,4500.0,10.65,45.04,0.734,high,basic,49.0,1000.0,7,4,0.2
W_00092,Z_MUM_001,Mumbai,Mumbai_Coastal,Swiggy,festival,3,11.37,5,0.8736,0.6205,0.3959,5001.54,17.5,46.09,0.7134,high,standard,79.0,2000.0,7,6,0.1
W_00093,Z_HYD_001,Hyderabad,Hyderabad_Central,Blinkit,winter,29,8.18,3,0.5109,0.8232,0.3959,4500.0,11.42,42.59,0.6015,medium,standard,79.0,2000.0,7,6,0.1
W_00094,Z_MUM_002,Mumbai,Mumbai_Suburbs,Zomato,festival,2,9.66,4,0.6603,0.5255,0.4473,6005.04,22.1,43.83,0.5912,high,standard,79.0,2000.0,7,6,0.1
W_00095,Z_BLR_002,Bangalore,Bangalore_East,Blinkit,summer,33,3.95,0,0.3769,0.3323,0.271,4839.16,13.44,58.09,0.3389,low,standard,79.0,2000.0,7,6,0.1
W_00096,Z_HYD_001,Hyderabad,Hyderabad_Central,Swiggy,winter,28,7.44,0,0.5036,0.8593,0.4614,4500.0,13.64,51.43,0.6127,medium,nano,25.0,500.0,7,2,0.25
W_00097,Z_MUM_002,Mumbai,Mumbai_Suburbs,Zepto,winter,45,7.9,1,0.7001,0.4925,0.4305,6322.16,17.85,57.12,0.5918,low,premium,99.0,3500.0,7,7,0.0
W_00098,Z_CHE_002,Chennai,Chennai_Suburban,Amazon,festival,3,10.09,3,0.6386,0.955,0.3685,6674.47,17.45,61.69,0.6921,high,standard,79.0,2000.0,7,6,0.1
W_00099,Z_DEL_002,Delhi,Delhi_NCR,Blinkit,summer,2,10.12,4,0.2648,0.9871,0.7783,4703.69,13.92,54.5,0.6269,high,nano,25.0,500.0,7,2,0.25
W_00100,Z_CHE_001,Chennai,Chennai_Central,Zomato,summer,11,8.23,3,0.8303,0.8949,0.4382,4500.0,10.49,45.41,0.7589,medium,premium,99.0,3500.0,7,7,0.0
W_00101,Z_KOL_001,Kolkata,Kolkata_Central,Swiggy,festival,15,6.21,3,0.8103,0.7326,0.5045,4542.65,12.59,58.2,0.6917,medium,premium,99.0,3500.0,7,7,0.0
W_00102,Z_KOL_001,Kolkata,Kolkata_Central,Zomato,monsoon,14,9.53,2,0.7731,0.607,0.5063,4710.93,16.58,45.82,0.6766,medium,basic,49.0,1000.0,7,4,0.2
W_00103,Z_MUM_002,Mumbai,Mumbai_Suburbs,Zomato,winter,58,5.28,2,0.7803,0.5803,0.4575,5307.79,20.93,40.9,0.6275,low,standard,79.0,2000.0,7,6,0.1
W_00104,Z_HYD_001,Hyderabad,Hyderabad_Central,Swiggy,monsoon,3,11.47,1,0.6006,0.8024,0.4606,4500.0,8.0,50.67,0.6691,high,basic,49.0,1000.0,7,4,0.2
W_00105,Z_HYD_001,Hyderabad,Hyderabad_Central,Amazon,winter,6,9.87,4,0.5297,0.7746,0.4603,6599.68,19.45,54.72,0.6251,high,standard,79.0,2000.0,7,6,0.1
W_00106,Z_HYD_001,Hyderabad,Hyderabad_Central,Zepto,festival,25,6.88,2,0.5341,0.7761,0.3536,5571.92,16.3,55.13,0.5667,medium,basic,49.0,1000.0,7,4,0.2
W_00107,Z_BLR_001,Bangalore,Bangalore_Central,Zomato,monsoon,13,7.91,2,0.4063,0.4238,0.3224,5877.41,20.88,45.4,0.4227,medium,standard,79.0,2000.0,7,6,0.1
W_00108,Z_CHE_002,Chennai,Chennai_Suburban,Swiggy,summer,30,6.87,1,0.564,0.9475,0.3276,5059.73,16.17,50.48,0.6285,low,basic,49.0,1000.0,7,4,0.2
W_00109,Z_HYD_001,Hyderabad,Hyderabad_Central,Swiggy,festival,13,8.35,0,0.5174,0.7248,0.3726,6518.64,19.97,52.66,0.5619,medium,standard,79.0,2000.0,7,6,0.1
W_00110,Z_HYD_001,Hyderabad,Hyderabad_Central,Blinkit,festival,17,10.69,3,0.5406,0.7963,0.4388,4500.0,13.23,52.33,0.6245,medium,standard,79.0,2000.0,7,6,0.1
W_00111,Z_BLR_002,Bangalore,Bangalore_East,Zomato,summer,15,8.75,3,0.3687,0.3527,0.2722,4500.0,9.88,47.46,0.3884,medium,basic,49.0,1000.0,7,4,0.2
W_00112,Z_KOL_001,Kolkata,Kolkata_Central,Zomato,winter,25,7.66,1,0.8612,0.7246,0.5636,4666.92,16.51,45.6,0.7459,low,standard,79.0,2000.0,7,6,0.1
W_00113,Z_BLR_002,Bangalore,Bangalore_East,Blinkit,monsoon,21,4.73,0,0.4241,0.3892,0.3159,6885.23,18.68,59.45,0.3889,medium,basic,49.0,1000.0,7,4,0.2
W_00114,Z_KOL_001,Kolkata,Kolkata_Central,Zomato,festival,10,6.9,3,0.8492,0.7158,0.5051,4971.49,18.1,44.3,0.7096,medium,standard,79.0,2000.0,7,6,0.1
W_00115,Z_BLR_001,Bangalore,Bangalore_Central,Amazon,winter,37,5.79,2,0.4352,0.4032,0.3269,4500.0,13.37,53.08,0.4149,low,standard,79.0,2000.0,7,6,0.1
W_00116,Z_CHE_001,Chennai,Chennai_Central,Zepto,winter,12,4.32,2,0.7889,0.823,0.3394,4500.0,11.96,42.37,0.6679,medium,basic,49.0,1000.0,7,4,0.2
W_00117,Z_CHE_002,Chennai,Chennai_Suburban,Blinkit,winter,14,6.92,4,0.7048,0.8851,0.357,4500.0,8.0,47.56,0.6801,medium,nano,25.0,500.0,7,2,0.25
W_00118,Z_KOL_001,Kolkata,Kolkata_Central,Zomato,summer,4,9.14,5,0.7135,0.6612,0.5515,6326.51,18.15,56.24,0.6737,high,standard,79.0,2000.0,7,6,0.1
W_00119,Z_KOL_001,Kolkata,Kolkata_Central,Zepto,winter,24,7.0,2,0.7417,0.7457,0.5818,4500.0,8.0,54.81,0.6979,medium,nano,25.0,500.0,7,2,0.25
W_00120,Z_BLR_001,Bangalore,Bangalore_Central,Swiggy,monsoon,16,10.13,1,0.4138,0.4275,0.3484,6074.73,20.89,46.91,0.4527,medium,standard,79.0,2000.0,7,6,0.1
W_00121,Z_BLR_001,Bangalore,Bangalore_Central,Swiggy,festival,17,9.12,1,0.4977,0.4637,0.3637,7371.98,23.6,50.38,0.4858,medium,standard,79.0,2000.0,7,6,0.1
W_00122,Z_MUM_001,Mumbai,Mumbai_Coastal,Zomato,festival,49,7.72,1,0.7849,0.6394,0.4558,6486.8,18.55,56.4,0.6597,low,standard,79.0,2000.0,7,6,0.1
W_00123,Z_BLR_002,Bangalore,Bangalore_East,Blinkit,festival,5,9.35,4,0.346,0.3382,0.2957,5674.27,18.81,48.67,0.3768,high,standard,79.0,2000.0,7,6,0.1
W_00124,Z_KOL_001,Kolkata,Kolkata_Central,Swiggy,festival,19,11.14,5,0.741,0.6958,0.5784,4500.0,15.61,36.44,0.7097,medium,nano,25.0,500.0,7,2,0.25
W_00125,Z_CHE_002,Chennai,Chennai_Suburban,Zomato,winter,31,6.58,0,0.6139,0.9567,0.3174,4500.0,8.0,42.97,0.6514,low,standard,79.0,2000.0,7,6,0.1
W_00126,Z_BLR_001,Bangalore,Bangalore_Central,Zomato,winter,20,9.69,1,0.4362,0.4212,0.3376,4500.0,11.11,47.87,0.4628,medium,premium,99.0,3500.0,7,7,0.0
W_00127,Z_DEL_001,Delhi,Delhi_Central,Swiggy,summer,24,5.88,0,0.3497,0.9806,0.9385,4500.0,10.8,44.38,0.648,low,basic,49.0,1000.0,7,4,0.2
W_00128,Z_CHE_002,Chennai,Chennai_Suburban,Swiggy,summer,27,7.12,2,0.6993,0.818,0.2859,5529.56,18.95,47.07,0.6441,medium,premium,99.0,3500.0,7,7,0.0
W_00129,Z_BLR_001,Bangalore,Bangalore_Central,Swiggy,festival,17,12.88,3,0.4198,0.3767,0.3656,5425.91,16.13,54.25,0.4626,medium,premium,99.0,3500.0,7,7,0.0
W_00130,Z_MUM_002,Mumbai,Mumbai_Suburbs,Blinkit,summer,53,5.92,1,0.6859,0.5806,0.4152,4500.0,11.57,61.55,0.5834,low,basic,49.0,1000.0,7,4,0.2
W_00131,Z_BLR_001,Bangalore,Bangalore_Central,Zomato,winter,14,6.68,2,0.4057,0.4558,0.3021,4500.0,13.18,33.52,0.422,medium,nano,25.0,500.0,7,2,0.25
W_00132,Z_MUM_001,Mumbai,Mumbai_Coastal,Zomato,summer,17,7.38,0,0.7716,0.561,0.4007,4515.62,13.71,53.14,0.6257,medium,basic,49.0,1000.0,7,4,0.2
W_00133,Z_HYD_001,Hyderabad,Hyderabad_Central,Zomato,monsoon,10,10.55,1,0.5376,0.7898,0.4325,4789.34,15.09,51.21,0.6252,medium,basic,49.0,1000.0,7,4,0.2
W_00134,Z_MUM_002,Mumbai,Mumbai_Suburbs,Zomato,festival,22,8.94,1,0.7725,0.5676,0.4261,8637.64,25.06,55.6,0.6399,low,standard,79.0,2000.0,7,6,0.1
